status,name,address,rating,reviews,types,neighborhood,place_id,reason
NEW,"The Spa at Hotel Chelsea","222 W 23rd St, New York, NY 10011, USA",4.9,39,"Hotel Spa","Chelsea",ChIJ_XqsKxxZwokRXy14WiZGmrc,
NEW,"Life Time","60 W 23rd St, New York, NY 10010, USA",3.7,157,"Gym Sauna","Flatiron",ChIJCTIrwPFZwokReroxCWF_olU,
NEW,"Equinox High Line","100 10th Ave, New York, NY 10011, USA",3.8,130,"Gym Sauna","Chelsea",ChIJ74rrqrhZwokRyhuMj4TbNaA,
NEW,"Chelsea Piers Fitness","308 Park Ave S, New York, NY 10010, USA",4.2,73,"Gym Sauna","Flatiron",ChIJhba4g49ZwokRYWaQrhNZMgI,
NEW,"Equinox Hudson Yards","32 Hudson Yards, New York, NY 10001, USA",3.8,596,"Gym Sauna","Chelsea",ChIJKylnGIFZwokRtpZp0G8MR40,
NEW,"Equinox SoHo","69 Prince St, New York, NY 10012, USA",3.5,163,"Gym Sauna","SoHo",ChIJex7FHI9ZwokR3NkJeC5rhSo,
NEW,"Equinox Hudson Square","75 Varick St, New York, NY 10013, USA",4.6,21,"Gym Sauna","Tribeca",ChIJKXEN2d5ZwokREOqjqcHd15I,
NEW,"Equinox Tribeca","54 Murray St, New York, NY 10007, USA",3.4,105,"Gym Sauna","Tribeca",ChIJpY17LBlawokRL3S0t5cQ9_Q,
NEW,"The Spa at Four Seasons Hotel New York Downtown","27 Barclay St, New York, NY 10007, USA",3.9,36,"Gym Sauna; Hotel Spa","Tribeca",ChIJK9Is4xhawokRM9cdEltMbdk,
NEW,"Equinox Brookfield Place","225 Liberty St, New York, NY 10281, USA",4,118,"Gym Sauna","",ChIJk6BlWBpawokR2cSGUkSlnok,
NEW,"Equinox Wall Street","14 Wall St, New York, NY 10005, USA",3.5,124,"Gym Sauna","Financial District",ChIJN-lWGBdawokRv_dxgktr0sc,
NEW,"CompleteBody Midtown East","301 E 57th St, New York, NY 10022, USA",4.7,155,"Gym Sauna","Midtown",ChIJMxEineZYwokRTmnQh45Acaw,
NEW,"TMPL - Lexington","155 E 53rd St, New York, NY 10022, USA",4.5,813,"Gym Sauna","Midtown",ChIJKauyoLFZwokRrifZFRhD5YU,
NEW,"Life Time","110 W 56th St, New York, NY 10019, USA",3.1,70,"Gym Sauna","Hell's Kitchen",ChIJ0a-LKZxZwokRZRbGab1NVLA,
NEW,"Restore Hyper Wellness","1191 3rd Ave, New York, NY 10021, USA",4.9,520,"Day Spa","Upper East Side",ChIJQ7BzFhtZwokRuWivMIN8WBw,
NEW,"Sage + Sound","1481 3rd Ave, New York, NY 10028, USA",4.5,107,"","Upper East Side",ChIJ03-PM7hZwokR5T8Vop9drIo,
NEW,"Equinox East 63rd Street","817 Lexington Ave, New York, NY 10065, USA",3.3,174,"Gym Sauna","Upper East Side",ChIJwcHHOu9YwokR73xxYxVZlF4,
NEW,"Equinox East 61st Street","330 E 61st St, New York, NY 10065, USA",3.5,175,"Gym Sauna","Upper East Side",ChIJ1U2aLeZYwokRxteduHVRwK8,
NEW,"Equinox East 74th Street","1429 2nd Ave, New York, NY 10021, USA",3.3,116,"Gym Sauna","Upper East Side",ChIJLfGMb8BYwokRuRgJ274zXas,
NEW,"Equinox East 92nd Street","203 E 92nd St, New York, NY 10128, USA",3.8,153,"Gym Sauna","Upper East Side",ChIJsXNTk6RYwokRRadk2R0KgPk,
NEW,"E by Equinox Madison Avenue","30 E 85th St, New York, NY 10028, USA",3.5,34,"Gym Sauna","Upper East Side",ChIJN89NUutZwokRRPv51aySx1A,
NEW,"Equinox East 85th Street","203 E 85th St, New York, NY 10028, USA",3.5,99,"Gym Sauna","Upper East Side",ChIJ4c7Rf7xYwokRrcnqR1R27hA,
NEW,"Restore Hyper Wellness","2148C Broadway, New York, NY 10023, USA",4.9,346,"Day Spa","Upper West Side",ChIJn-GJLwxZwokRO-ANfdQWaW0,
NEW,"Equinox West 92nd Street","2465 Broadway, New York, NY 10025, USA",4,226,"Gym Sauna","Upper West Side",ChIJ_y4HX4JYwokRs5khP5kkzNQ,
NEW,"Equinox Sports Club New York","160 Columbus Ave, New York, NY 10023, USA",3.4,260,"Gym Sauna","Upper West Side",ChIJr62bNPVYwokRrjUjALpFNcs,
NEW,"Equinox West 76th Street","344 Amsterdam Ave, New York, NY 10024, USA",3.2,123,"Gym Sauna","Upper West Side",ChIJQS2FA4lYwokRZN6dulsD25s,
NEW,"Equinox Columbus Circle","10 Columbus Cir, New York, NY 10019, USA",3.5,264,"Gym Sauna","Hell's Kitchen",ChIJMRtanfBYwokRr5YE_1LUuNY,
NEW,"VITAL Climbing Gym - Lower East Side","182 Broome St, New York, NY 10002, USA",4.4,124,"Gym Sauna","Lower East Side",ChIJR062VItZwokRt-Z87zug0D0,
NEW,"Paradise Spa & Sauna","100 Linwood Plaza, Fort Lee, NJ 07024, USA",3.7,278,"Boutique Sauna","",ChIJVeNz4Nz2wokRfwRz65cHm00,
NEW,"Four Seasons Spa | Day spa, Sauna Couples massage Fort Lee NJ","2025 Lemoine Ave 4th floor, Fort Lee, NJ 07024, USA",4.5,55,"Boutique Sauna","",ChIJmyhnyC73wokRBn6MbGMVxH0,
NEW,"Equinox Gramercy","315 Park Ave S, New York, NY 10010, USA",3.9,101,"Gym Sauna","Flatiron",ChIJp6eP1KBZwokR8NJdXPnYvMs,
NEW,"Equinox NoMad","31 W 27th St, New York, NY 10001, USA",4.2,109,"Gym Sauna","Chelsea",ChIJHxz1495ZwokRpzTqpcJW3pw,
NEW,"Restore Hyper Wellness","225 Flatbush Ave, Brooklyn, NY 11217, USA",4.7,204,"Day Spa","Brooklyn",ChIJaw53nw1bwokRV8kffBcZC1s,
NEW,"Steam Lounge & Spa LLC","548 Schenck Ave, Brooklyn, NY 11207, USA",5,48,"Day Spa","Brooklyn",ChIJLfqZjWJdwokRanl3Yb7pf68,
NEW,"Powerhouse Gym Long Island City","30-30 Northern Blvd, Long Island City, NY 11101, USA",4.7,393,"Gym Sauna","Long Island City",ChIJVVWVBStfwokRqvbTtK59WCo,
NEW,"Kontra Baths","216 Glen Cove Rd, Carle Place, NY 11514, USA",5,64,"","",ChIJjV0z42KHwokRuqPcQXdUIWQ,
NEW,"Life Time","235 W 33rd St, New York, NY 10119, USA",3.3,84,"Gym Sauna","",ChIJ1_7ka9tZwokRGHIOFR2-WKU,
NEW,"Life Time","1 West St, New York, NY 10004, USA",3.7,33,"Gym Sauna","Financial District",ChIJt_RTHd1bwokRpL0LgC9E7NQ,
NEW,"TMPL - Madison","200 Madison Ave, New York, NY 10016, USA",4.7,137,"Gym Sauna","Midtown",ChIJu6uoRABZwokRmZR-aFxPgy8,
EXISTS,"Bathhouse Flatiron","14 W 22nd St, New York, NY 10010, USA",4.4,2276,,,ChIJkTyq0SlZwokRdtbwK-vZxLw,"matched: Bathhouse Flatiron"
EXISTS,"Othership Flatiron","23 W 20th St, New York, NY 10011, USA",4.9,1098,,,ChIJKxPbBwBZwokRkGZEW6k9FsU,"matched: Othership Flatiron"
EXISTS,"Russian & Turkish Baths","268 E 10th St, New York, NY 10009, USA",4.2,712,,,ChIJT6uag51ZwokRBV2vUMM3FWQ,"matched: Russian & Turkish Baths"
EXISTS,"Bathhouse Williamsburg","103 N 10th St, Brooklyn, NY 11249, USA",4.3,3654,,,ChIJBTF_ACxZwokRk8y1ICME3F4,"matched: Bathhouse Williamsburg"
EXISTS,"New York Spa & Sauna","149-06 Northern Blvd, Flushing, NY 11354, USA",3.9,739,,,ChIJTTUrPSJgwokRA5GNq_8dxJI,"matched: New York Spa & Sauna"
EXISTS,"Brooklyn Bathhouse","731 Flatbush Ave, Brooklyn, NY 11226, USA",4.5,92,,,ChIJcX7MZwBbwokRxlktDQLDP1I,"matched: Brooklyn Bathhouse"
EXISTS,"Bath Club of NY, Inc","1196 Gravesend Neck Rd, Brooklyn, NY 11229, USA",4.3,895,,,ChIJFVLapYpEwokRg7c0afZfk_0,"matched: Russian Bath of NY"
EXISTS,"Akari","202 Grand St, Brooklyn, NY 11211, USA",5,49,,,ChIJfUyIa1pZwokR5WXLrcSKMFA,"matched: Akari Sauna Williamsburg"
EXISTS,"Lore Bathing Club","676 Broadway, New York, NY 10012, USA",5,26,,,ChIJVQTtaABZwokR7eq_fU_19eM,"matched: Lore Bathing Club"
EXISTS,"cityWell brooklyn","496 President St, Brooklyn, NY 11215, USA",4.9,155,,,ChIJ0cKEvVVawokRpgRnrnuR1LQ,"matched: cityWell Brooklyn"
EXISTS,"Perspire Sauna Studio","191 N 8th St, Brooklyn, NY 11211, USA",4.7,115,,,ChIJvSpYN81ZwokR0PqfuPKUN4M,"matched: Perspire Sauna Studio"
EXISTS,"Area Infrared Sauna & Spa","45 5th Ave, Brooklyn, NY 11217, USA",4.5,152,,,ChIJTaEkma5bwokRbf4oUePYORU,"matched: Area Infrared Sauna"
EXISTS,"Powerhouse Gym 158 W. 27th Street Manhattan","158 W 27th St, New York, NY 10001, USA",5,259,,,ChIJcaGsUY1ZwokRJjigSIfiCwM,"matched: Powerhouse Gym NYC"
EXISTS,"Manhattan Plaza Health Club","482 W 43rd St 2nd floor, New York, NY 10036, USA",4.2,547,,,ChIJh_URM9RZwokRiY2kg524fRg,"matched: Manhattan Plaza Health Club"
EXISTS,"TMPL - West Village","125 7th Ave S, New York, NY 10014, USA",4.6,455,,,ChIJxYqdJ9NZwokRt4-PwpWWSaQ,"matched: TMPL West Village"
EXISTS,"Four Seasons Hotel New York Downtown","27 Barclay St, New York, NY 10007, USA",4.7,1281,,,ChIJiz9V4xhawokRorqq7eXaNxM,"matched: Four Seasons Downtown"
EXISTS,"The Greenwich Hotel","377 Greenwich St, New York, NY 10013, USA",4.6,411,,,ChIJTWkuhfVZwokRvaommqZ2oqA,"matched: The Greenwich Hotel"
EXISTS,"Mandarin Oriental, New York","80 Columbus Cir, New York, NY 10023, USA",4.6,1743,,,ChIJL83lHfZYwokRnd7wA8PLD1E,"matched: Mandarin Oriental"
EXISTS,"Equinox Hotel New York","33 Hudson Yards, New York, NY 10001, USA",4.4,666,,,ChIJf-JE3ehZwokRXgoRYPxLMhA,"matched: Equinox Hotel New York"
EXISTS,"Virgin Hotels New York City","1227 Broadway, New York, NY 10001, USA",3.9,1122,,,ChIJ4zLglElZwokR7tWZPZGVsLY,"matched: Virgin Hotels NYC"
EXISTS,"The Dominick","246 Spring St, New York, NY 10013, USA",4.3,717,,,ChIJazM5w4xZwokRr28B0Zb4tCE,"matched: The Dominick Hotel"
EXISTS,"The William Vale","111 N 12th St, Brooklyn, NY 11249, USA",4.3,2893,,,ChIJT0OO0UJZwokRDV4t1oFOrso,"matched: The William Vale"
EXISTS,"The Chatwal - The Unbound Collection by Hyatt","130 W 44th St, New York, NY 10036, USA",4.6,433,,,ChIJ613balVYwokR2Sd7fEqauZs,"matched: The Chatwal"
EXISTS,"Aman New York","730 5th Ave, New York, NY 10019, USA",4.4,321,,,ChIJM-uWC9VZwokRMm_7bwjHFBg,"matched: Aman New York"
