status,name,address,rating,reviews,types,amenities,neighborhood,website,place_id,description,reason
FILTERED,"Tuli Lodge","1951 Alaskan Wy Pier 62, Seattle, WA 98101, USA",5,51,,,,"https://tuli-lodge.com/",ChIJF6NfJ_wVkFQRxaQRJRjHzhw,,"no sauna-specific signals"
FILTERED,"Good Day Sauna - Lincoln Park West Seattle","8011 Fauntleroy Wy SW, Seattle, WA 98136, USA",5,61,,,,"http://www.gooddaysauna.com/",ChIJ3Zc7egBBkFQRxjXf9EoWQ7w,,"excluded name: \bpark\b(?!.*(?:spa|sauna|bath|slope))"
FILTERED,"Bywater Sauna - Leschi","Lakeside Ave, Seattle, WA 98122, USA",5,6,,,,"https://www.bywatersauna.com/",ChIJjyWDKgBrkFQRR82X357NLsE,,"too few reviews (6)"
FILTERED,"Space BAR Wellness West Seattle","2705 California Ave SW, Seattle, WA 98116, USA",4.9,163,,,,"http://www.spacebarwellness.com/",ChIJazIi62xBkFQRzKbmTK84Cwo,,"no sauna-specific signals"
FILTERED,"TheZClub","1117 Pike St, Seattle, WA 98101, USA",3.5,109,,,,"https://www.thezclub.com/",ChIJ_1d56cpqkFQREOH48ESA5d4,,"excluded type: store"
FILTERED,"Sacred Rain Healing Center","1100 NW 50th St, Seattle, WA 98107, USA",4.7,154,,,,"http://sacredrainhealing.com/",ChIJb273XLYVkFQRM8PHt625-0E,,"no sauna-specific signals"
FILTERED,"City Sweats - Wallingford","4222 Stone Way N, Seattle, WA 98103, USA",4.6,109,,,,"https://citysweats.com/wallingford",ChIJ2z7JIlQUkFQRDnmr_4lu1q0,,"no sauna-specific signals"
FILTERED,"Little Red Day Spa","3200 Airport Wy S building 12, Seattle, WA 98134, USA",4.7,674,,,,"http://www.littlereddayspa.com/",ChIJPe5_tCYVkFQR5ydFzLBk3VA,,"no sauna-specific signals"
FILTERED,"Olympus Spa","3815 196th St SW #160, Lynnwood, WA 98036, USA",4.6,1461,,,,"http://www.olympusspa.com/",ChIJz0rzlGsFkFQRVUJiDE8mBZc,,"no sauna-specific signals"
FILTERED,"Olympus Spa","8615 S Tacoma Way, Tacoma, WA 98499, USA",4.7,942,,,,"https://www.olympusspa.com/tacoma/",ChIJ7dw-ZlEAkVQRfpoS8NP9UxA,,"no sauna-specific signals"
FILTERED,"Yuan Spa - Bellevue","1032 106th Ave NE #125, Bellevue, WA 98004, USA",4.3,519,,,,"http://www.yuanspa.com/",ChIJ0ckgjo5skFQRDRZ9_ha-I7E,,"no sauna-specific signals"
FILTERED,"The Ladies Room","8538 1st Ave NW, Seattle, WA 98117, USA",4.8,358,,,,"http://ladiesroom206.com/",ChIJF0B1UpMVkFQRWHDqkTvsN_0,,"no sauna-specific signals"
FILTERED,"Ananya Spa","119 Fairview Ave N, Seattle, WA 98109, USA",4.4,242,,,,"http://www.ananyaspaseattle.com/",ChIJtVxfLVAVkFQRPBGoPsozeyU,,"excluded type: store"
FILTERED,"Palace Spa","1727 S 316th St STE 201, Federal Way, WA 98003, USA",3.8,579,,,,"http://enjoypalacespa.com/",ChIJFVAFoXlXkFQRTi-wp88Evys,,"no sauna-specific signals"
FILTERED,"Olympic Spa","5301 Leary Ave NW, Seattle, WA 98107, USA",4.7,54,,,,"https://olympicspa.com/",ChIJ15gGascVkFQRolgKdRQWLsA,,"no sauna-specific signals"
FILTERED,"Kawaii Spa","4364 15th Ave S, Seattle, WA 98108, USA",,,,,,"",ChIJT-vD1qZBkFQRrndrTy-DoCY,,"too few reviews (0)"
FILTERED,"Head To Toe Day Spa","2328 California Ave SW, Seattle, WA 98116, USA",4.7,129,,,,"https://head2toedayspa.com/?y_source=1_MjcxMDYzMzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D",ChIJvTiqjmVAkFQRMLio9Z9kMxA,,"no sauna-specific signals"
FILTERED,"Yuan Spa - Totem Lake","11900 NE Village Plaza #176, Kirkland, WA 98034, USA",4.1,275,,,,"http://yuanspa.com/",ChIJnTUE5VgNkFQRBOXj-v_K_2w,,"no sauna-specific signals"
FILTERED,"SEOUL GLOW SPA - Korean Head Spa, Skincare & Nails","5401 Leary Ave NW, Seattle, WA 98107, USA",4.9,853,,,,"https://www.seoulglowspa.com/",ChIJ5xQX47QVkFQRFbnyiIHhVq0,,"excluded name: head\s*spa"
FILTERED,"Calmed Soul Holistic Spa","3250 Airport Wy S, Seattle, WA 98134, USA",5,24,,,,"http://www.vagaro.com/calmedsoul",ChIJfZtxC3dBkFQRZYtuH_0-bLE,,"no sauna-specific signals"
FILTERED,"Sauna Moon Seattle","2701 Alki Ave SW, Seattle, WA 98116, USA",5,1,,,,"https://www.saunamoon.com/",ChIJicl7zTxBkFQRksoQpvk_q34,,"too few reviews (1)"
FILTERED,"Washington Athletic Club","1325 6th Ave, Seattle, WA 98101, USA",4.5,264,,,,"https://www.wac.net/",ChIJWYtiabRqkFQRmLQhcVZ7-40,,"excluded type: restaurant"
FILTERED,"Elaia Spa","1635 8th Ave, Seattle, WA 98101, USA",4.4,134,,,,"https://www.hyatt.com/en-US/spas/Elaia-Spa/home?utm_source=google&utm_medium=lastmile&utm_campaign=seahs-s-elai",ChIJ4bhONLVqkFQRKdSGtq6Eqjw,,"no sauna-specific signals"
FILTERED,"Penelope & The Beauty Bar","411 University St, Seattle, WA 98101, USA",4.4,463,,,,"http://www.penelopeandthebeautybar.com/",ChIJk63I_rNqkFQRrBjSa7430N4,,"no sauna-specific signals"
FILTERED,"Celsius","229 Queen Anne Ave N St 101, Seattle, WA 98109, USA",4.7,133,,,,"http://celsiusmedspa.com/seattle",ChIJG-gCJSMVkFQRKFda951UJYw,,"no sauna-specific signals"
FILTERED,"City Sweats - West Seattle","4755 Fauntleroy Wy SW Suite 170, Seattle, WA 98116, USA",4.6,34,,,,"https://citysweats.com/west-seattle",ChIJA4MnxyZBkFQRv2HHy24QErA,,"no sauna-specific signals"
FILTERED,"Urban Yoga Spa","1900 4th Ave, Seattle, WA 98101, USA",4.4,125,,,,"https://www.urbanyogaspa.com/",ChIJM2pnV0sVkFQRleAfNWbA9xs,,"gym without confirmed saunas"
FILTERED,"Seattle Custom Saunas","340 15th Ave E #212, Seattle, WA 98112, USA",5,8,,,,"https://seattlecustomsaunas.com/",ChIJQ_vCm0UVkFQRu3ULUo0AxxU,,"excluded type: store"
FILTERED,"815 Refresh","815 NE 72nd St, Seattle, WA 98115, USA",5,20,,,,"https://815refresh.com/",ChIJa-tD1DAVkFQRZWxDth9k-kg,,"no sauna-specific signals"
FILTERED,"Castle Climbing Club","6327 W Marginal Wy SW, Seattle, WA 98106, USA",4.8,22,,,,"https://www.castleclimbingclub.com/",ChIJ7VBNCopBkFQRaJb2N1yzN-M,,"gym without confirmed saunas"
